"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"49026","Escherichia coli",5.19705,"50.718","3","5415","2016/02/29","2017/02/25","GCA_001577325.1","Escherichia coli","Escherichia coli","NZ_CP014522.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/325/GCA_001577325.1_ASM157732v1/GCA_001577325.1_ASM157732v1_genomic.fasta"
"49034","Salmonella enterica subsp. enterica serovar Typhi",4.78147,"52.1","1","4974","2017/08/04","2017/08/17","GCA_001118185.2","enterica","Salmonella","chromosome 1:NZ_LT904890.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/118/185/GCA_001118185.2_H12ESR00394-001A/GCA_001118185.2_H12ESR00394-001A_genomic.fasta"
"49035","Staphylococcus aureus",2.8789,"32.9","1","3065","2016/07/14","2017/03/06","GCA_900092595.1","Staphylococcus aureus","Staphylococcus aureus","chromosome 1:NZ_LT598688.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/092/595/GCA_900092595.1_Sa_Newman_UoM/GCA_900092595.1_Sa_Newman_UoM_genomic.fasta"
"49036","Staphylococcus aureus",2.77158,"32.9","1","2893","2016/09/29","2017/03/06","GCA_900096745.1","Staphylococcus aureus","Staphylococcus aureus","chromosome 1:NZ_LT615218.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/745/GCA_900096745.1_AUS0325/GCA_900096745.1_AUS0325_genomic.fasta"
"49037","Salmonella enterica subsp. enterica serovar Typhi",4.76174,"52.1","1","4953","2017/08/04","2017/08/17","GCA_001119245.2","enterica","Salmonella","chromosome 1:NZ_LT904887.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/119/245/GCA_001119245.2_76_1292/GCA_001119245.2_76_1292_genomic.fasta"
"49045","Escherichia coli JJ1887",5.33152,"50.8177","6","5615","2016/03/17","2017/02/25","GCA_001593565.1","coli","Escherichia","NZ_CP014316.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/565/GCA_001593565.1_ASM159356v1/GCA_001593565.1_ASM159356v1_genomic.fasta"
"49076","Bordetella pertussis",4.10325,"67.7","1","3971","2017/02/06","2017/03/29","GCA_001986775.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011706.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/775/GCA_001986775.1_ASM198677v1/GCA_001986775.1_ASM198677v1_genomic.fasta"
"49105","Staphylococcus haemolyticus",2.56137,"32.7","1","2532","2015/04/16","2015/05/27","GCA_000972725.1","Staphylococcus haemolyticus","Staphylococcus haemolyticus","CP011116.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/972/725/GCA_000972725.1_ASM97272v1/GCA_000972725.1_ASM97272v1_genomic.fasta"
"49111","Bordetella pertussis",4.1032,"67.7","1","3968","2017/02/06","2017/03/29","GCA_001986795.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011707.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/795/GCA_001986795.1_ASM198679v1/GCA_001986795.1_ASM198679v1_genomic.fasta"
"49142","Escherichia coli str. Sanji",5.42859,"50.4704","7","5690","2016/04/05","2017/02/25","GCA_001610755.1","coli","Escherichia","NZ_CP011061.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/610/755/GCA_001610755.1_ASM161075v1/GCA_001610755.1_ASM161075v1_genomic.fasta"
"49150","Salmonella enterica subsp. enterica serovar Typhi",4.65363,"52.2","1","4835","2017/08/04","2017/08/17","GCA_001121865.2","enterica","Salmonella","chromosome 1:NZ_LT904877.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/121/865/GCA_001121865.2_404Ty/GCA_001121865.2_404Ty_genomic.fasta"
"49151","Staphylococcus aureus subsp. aureus",2.82187,"32.7456","2","2945","2016/12/14","2017/03/06","GCA_900129335.1","aureus","Staphylococcus","chromosome I:NZ_LT671859.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/129/335/GCA_900129335.1_PP_HGAG_QV30_2SC_T4/GCA_900129335.1_PP_HGAG_QV30_2SC_T4_genomic.fasta"
"49153","Salmonella enterica subsp. enterica serovar Typhi",4.80084,"52.1","1","5007","2017/08/04","2017/08/17","GCA_001127485.2","enterica","Salmonella","chromosome 1:NZ_LT904884.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/127/485/GCA_001127485.2_ERL041834/GCA_001127485.2_ERL041834_genomic.fasta"
"49161","Escherichia coli",5.6431,"50.5639","2","6020","2016/04/06","2017/02/25","GCA_001612475.1","Escherichia coli","Escherichia coli","NZ_CP015020.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/612/475/GCA_001612475.1_ASM161247v1/GCA_001612475.1_ASM161247v1_genomic.fasta"
"49192","Bordetella pertussis",4.10954,"67.7","1","3976","2017/02/06","2017/03/29","GCA_001986815.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011708.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/815/GCA_001986815.1_ASM198681v1/GCA_001986815.1_ASM198681v1_genomic.fasta"
"49227","Bordetella pertussis",4.1065,"67.7","1","3964","2017/02/06","2017/03/29","GCA_001986835.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011709.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/835/GCA_001986835.1_ASM198683v1/GCA_001986835.1_ASM198683v1_genomic.fasta"
"49258","Escherichia coli",5.60197,"50.5524","2","5999","2016/04/06","2017/02/25","GCA_001612495.1","Escherichia coli","Escherichia coli","NZ_CP015023.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/612/495/GCA_001612495.1_ASM161249v1/GCA_001612495.1_ASM161249v1_genomic.fasta"
"49266","Salmonella enterica subsp. enterica serovar Typhi",4.7821,"52.1","1","4966","2017/08/04","2017/08/17","GCA_001135805.2","enterica","Salmonella","chromosome 1:NZ_LT904777.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/135/805/GCA_001135805.2_ERL072973/GCA_001135805.2_ERL072973_genomic.fasta"
"49269","Salmonella enterica subsp. enterica serovar Typhi",4.63614,"52.1","1","4830","2017/08/04","2017/08/17","GCA_001148125.2","enterica","Salmonella","chromosome 1:NZ_LT905088.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/148/125/GCA_001148125.2_ERL024120/GCA_001148125.2_ERL024120_genomic.fasta"
"49277","Escherichia coli",5.41829,"50.9191","7","5712","2016/04/08","2017/02/25","GCA_001617565.1","Escherichia coli","Escherichia coli","NZ_CP015138.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/565/GCA_001617565.1_ASM161756v1/GCA_001617565.1_ASM161756v1_genomic.fasta"
"49308","Bordetella pertussis",4.11164,"67.7","1","3978","2017/02/06","2017/03/29","GCA_001986855.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011710.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/855/GCA_001986855.1_ASM198685v1/GCA_001986855.1_ASM198685v1_genomic.fasta"
"49343","Bordetella pertussis",4.10633,"67.7","1","3972","2017/02/06","2017/03/29","GCA_001986875.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011711.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/875/GCA_001986875.1_ASM198687v1/GCA_001986875.1_ASM198687v1_genomic.fasta"
"49373","Escherichia coli",5.14009,"50.7938","5","5320","2016/04/11","2017/02/25","GCA_001618325.1","Escherichia coli","Escherichia coli","NZ_CP015069.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/325/GCA_001618325.1_ASM161832v1/GCA_001618325.1_ASM161832v1_genomic.fasta"
"49381","Salmonella enterica subsp. enterica serovar Typhi",4.7934,"52","1","4992","2017/08/04","2017/08/17","GCA_001148305.2","enterica","Salmonella","chromosome 1:NZ_LT905140.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/148/305/GCA_001148305.2_ERL082356/GCA_001148305.2_ERL082356_genomic.fasta"
"49384","Salmonella enterica subsp. enterica serovar Typhi",4.91541,"52.0674","2","5163","2017/06/09","2017/06/21","GCA_001157245.2","enterica","Salmonella","chromosome 1:NZ_LT883153.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/157/245/GCA_001157245.2_ERL12148/GCA_001157245.2_ERL12148_genomic.fasta"
"49392","Escherichia coli",5.04091,"50.805","2","5207","2016/04/11","2017/02/25","GCA_001618345.2","Escherichia coli","Escherichia coli","NZ_CP015074.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/345/GCA_001618345.2_ASM161834v2/GCA_001618345.2_ASM161834v2_genomic.fasta"
"49422","Bordetella pertussis",4.10955,"67.7","1","3976","2017/02/06","2017/03/29","GCA_001986895.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011712.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/895/GCA_001986895.1_ASM198689v1/GCA_001986895.1_ASM198689v1_genomic.fasta"
"49457","Bordetella pertussis",4.10955,"67.7","1","3976","2017/02/06","2017/03/29","GCA_001986915.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011713.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/915/GCA_001986915.1_ASM198691v1/GCA_001986915.1_ASM198691v1_genomic.fasta"
"49487","Escherichia coli",5.2123,"50.7445","3","5446","2016/04/11","2017/02/25","GCA_001618365.1","Escherichia coli","Escherichia coli","NZ_CP015076.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/365/GCA_001618365.1_ASM161836v1/GCA_001618365.1_ASM161836v1_genomic.fasta"
"49495","Salmonella enterica subsp. enterica serovar Typhi",4.84307,"52.1","1","5064","2017/08/04","2017/08/17","GCA_001163025.2","enterica","Salmonella","chromosome 1:NZ_LT904868.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/163/025/GCA_001163025.2_H12ESR04734-001A/GCA_001163025.2_H12ESR04734-001A_genomic.fasta"
"49498","Salmonella enterica subsp. enterica serovar Typhi",4.78102,"52.1","1","4970","2017/08/04","2017/08/17","GCA_001165785.2","enterica","Salmonella","chromosome 1:NZ_LT904875.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/165/785/GCA_001165785.2_ERL024919/GCA_001165785.2_ERL024919_genomic.fasta"
"49505","Escherichia coli",4.98958,"50.8849","2","5154","2016/05/16","2017/02/25","GCA_001644725.1","Escherichia coli","Escherichia coli","NZ_CP015240.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/725/GCA_001644725.1_ASM164472v1/GCA_001644725.1_ASM164472v1_genomic.fasta"
"49535","Bordetella pertussis",4.11059,"67.7","1","3980","2017/02/06","2017/03/29","GCA_001986935.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011714.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/935/GCA_001986935.1_ASM198693v1/GCA_001986935.1_ASM198693v1_genomic.fasta"
"49570","Bordetella pertussis",4.10955,"67.7","1","3977","2017/02/06","2017/03/29","GCA_001986955.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011715.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/955/GCA_001986955.1_ASM198695v1/GCA_001986955.1_ASM198695v1_genomic.fasta"
"49599","Escherichia coli",5.49497,"50.382","2","5756","2016/05/16","2017/02/25","GCA_001644745.1","Escherichia coli","Escherichia coli","NZ_CP015241.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/745/GCA_001644745.1_ASM164474v1/GCA_001644745.1_ASM164474v1_genomic.fasta"
"49606","Salmonella enterica subsp. enterica serovar Enteritidis",4.67837,"52.2","1","4752","2015/07/22","2017/02/27","GCA_001185215.1","enterica","Salmonella","NZ_CP011790.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/185/215/GCA_001185215.1_ASM118521v1/GCA_001185215.1_ASM118521v1_genomic.fasta"
"49609","Salmonella enterica subsp. enterica serovar Enteritidis",4.67783,"52.2","1","4750","2015/07/22","2017/02/27","GCA_001185245.1","enterica","Salmonella","NZ_CP011791.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/185/245/GCA_001185245.1_ASM118524v1/GCA_001185245.1_ASM118524v1_genomic.fasta"
"49616","Escherichia coli O157",5.75019,"50.4326","2","6133","2016/05/24","2017/02/25","GCA_001650275.1","coli","Escherichia","NZ_CP015832.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/275/GCA_001650275.1_ASM165027v1/GCA_001650275.1_ASM165027v1_genomic.fasta"
"49622","Shigella flexneri 4c",5.19607,"50.3803","4","5689","2016/03/03","2016/03/03","GCA_001579965.1","flexneri","Shigella","CP012140.1; plasmid 1205p1:CP012141.1; plasmid 1205p2:CP012142.1; plasmid 1205p3:CP012143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/965/GCA_001579965.1_ASM157996v1/GCA_001579965.1_ASM157996v1_genomic.fasta"
"49645","Bordetella pertussis",4.11269,"67.7","1","3981","2017/02/06","2017/03/29","GCA_001986975.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011716.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/975/GCA_001986975.1_ASM198697v1/GCA_001986975.1_ASM198697v1_genomic.fasta"
"49680","Bordetella pertussis",4.11059,"67.7","1","3978","2017/02/06","2017/03/29","GCA_001986995.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011717.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/995/GCA_001986995.1_ASM198699v1/GCA_001986995.1_ASM198699v1_genomic.fasta"
"49709","Escherichia coli O157",5.83121,"50.5","1","6284","2016/05/24","2017/02/25","GCA_001650295.1","coli","Escherichia","NZ_CP015831.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/295/GCA_001650295.1_ASM165029v1/GCA_001650295.1_ASM165029v1_genomic.fasta"
"49716","Salmonella enterica subsp. enterica serovar Typhi",5.09192,"51.8824","3","5345","2017/08/04","2017/08/17","GCA_001240865.2","enterica","Salmonella","chromosome 1:NZ_LT904878.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/240/865/GCA_001240865.2_Ty3_193/GCA_001240865.2_Ty3_193_genomic.fasta"
"49719","Salmonella enterica subsp. enterica serovar Newport",4.51284,"51.9","1","4723","2015/09/02","2017/06/24","GCA_001278315.1","enterica","Salmonella","NZ_CP012599.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/315/GCA_001278315.1_ASM127831v1/GCA_001278315.1_ASM127831v1_genomic.fasta"
"49726","Escherichia coli O157:H7",5.74083,"50.4584","2","6200","2016/05/25","2017/08/17","GCA_001651925.2","coli","Escherichia","NZ_CP015846.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/925/GCA_001651925.2_ASM165192v2/GCA_001651925.2_ASM165192v2_genomic.fasta"
"49755","Bordetella pertussis",4.11161,"67.7","1","3972","2017/02/06","2017/03/29","GCA_001987015.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011718.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/015/GCA_001987015.1_ASM198701v1/GCA_001987015.1_ASM198701v1_genomic.fasta"
"49789","Bordetella pertussis",4.10638,"67.7","1","3974","2017/02/06","2017/03/29","GCA_001987035.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011719.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/035/GCA_001987035.1_ASM198703v1/GCA_001987035.1_ASM198703v1_genomic.fasta"
"49818","Escherichia coli O157:H7",5.64522,"50.5","1","6080","2016/05/25","2017/08/17","GCA_001651945.1","coli","Escherichia","NZ_CP015842.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/945/GCA_001651945.1_ASM165194v1/GCA_001651945.1_ASM165194v1_genomic.fasta"
"49825","Salmonella enterica subsp. enterica serovar Typhimurium",5.08819,"52.1742","4","5263","2015/09/17","2017/02/28","GCA_001293505.1","enterica","Salmonella","NZ_CP012681.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/505/GCA_001293505.1_ASM129350v1/GCA_001293505.1_ASM129350v1_genomic.fasta"
"49828","Salmonella enterica subsp. enterica serovar Typhi",4.79355,"52","1","4979","2015/09/29","2017/02/28","GCA_001302605.1","enterica","Salmonella","NZ_CP012091.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/302/605/GCA_001302605.1_ASM130260v1/GCA_001302605.1_ASM130260v1_genomic.fasta"
"49835","Escherichia coli O157:H7",5.77552,"50.3956","3","6241","2016/05/25","2017/08/12","GCA_001651965.2","coli","Escherichia","NZ_CP015843.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/965/GCA_001651965.2_ASM165196v2/GCA_001651965.2_ASM165196v2_genomic.fasta"
"49864","Bordetella pertussis",4.10324,"67.7","1","3970","2017/02/06","2017/03/29","GCA_001987055.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011720.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/055/GCA_001987055.1_ASM198705v1/GCA_001987055.1_ASM198705v1_genomic.fasta"
"49895","Bordetella pertussis",4.10322,"67.7","1","3963","2017/02/06","2017/03/29","GCA_001987075.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011721.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/075/GCA_001987075.1_ASM198707v1/GCA_001987075.1_ASM198707v1_genomic.fasta"
"49924","Escherichia coli",5.18616,"50.6301","3","5480","2016/06/09","2017/02/25","GCA_001660565.1","Escherichia coli","Escherichia coli","NZ_CP015995.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/565/GCA_001660565.1_ASM166056v1/GCA_001660565.1_ASM166056v1_genomic.fasta"
"49931","Salmonella enterica subsp. enterica serovar Enteritidis",4.78191,"52.1173","2","4889","2015/10/01","2017/02/28","GCA_001305235.1","enterica","Salmonella","NZ_CP009768.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/235/GCA_001305235.1_ASM130523v1/GCA_001305235.1_ASM130523v1_genomic.fasta"
"49934","Salmonella enterica subsp. enterica serovar Thompson",4.70871,"52.2","1","4740","2015/10/02","2017/02/28","GCA_001305815.1","enterica","Salmonella","NZ_CP012513.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/815/GCA_001305815.1_ASM130581v1/GCA_001305815.1_ASM130581v1_genomic.fasta"
"49942","Escherichia coli",5.07482,"50.6194","3","5156","2016/06/09","2017/02/25","GCA_001660585.1","Escherichia coli","Escherichia coli","NZ_CP016007.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/585/GCA_001660585.1_ASM166058v1/GCA_001660585.1_ASM166058v1_genomic.fasta"
"49971","Bordetella pertussis",4.10954,"67.7","1","3976","2017/02/06","2017/03/29","GCA_001987095.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011722.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/095/GCA_001987095.1_ASM198709v1/GCA_001987095.1_ASM198709v1_genomic.fasta"
"49982","Acinetobacter sp. DUT-2",4.07267,"38.8315","6","3842","2016/03/08","2016/03/08","GCA_001581975.1","sp.","Acinetobacter","CP014651.1; plasmid unnamed1:CP014652.1; plasmid unnamed2:CP014653.1; plasmid unnamed3:CP014654.1; plasmid unnamed4:CP014655.1; plasmid unnamed5:CP014656.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/581/975/GCA_001581975.1_ASM158197v1/GCA_001581975.1_ASM158197v1_genomic.fasta"
"50002","Bordetella pertussis",4.10745,"67.7","1","3968","2017/02/06","2017/03/29","GCA_001987115.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011723.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/115/GCA_001987115.1_ASM198711v1/GCA_001987115.1_ASM198711v1_genomic.fasta"
"50031","Escherichia coli",4.59558,"50.8","1","4730","2016/06/15","2017/02/25","GCA_001663075.1","Escherichia coli","Escherichia coli","NZ_CP016018.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/075/GCA_001663075.1_ASM166307v1/GCA_001663075.1_ASM166307v1_genomic.fasta"
"50039","Salmonella enterica subsp. enterica serovar Thompson",4.70136,"52.2","1","4737","2015/10/02","2017/02/28","GCA_001305835.1","enterica","Salmonella","NZ_CP012514.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/835/GCA_001305835.1_ASM130583v1/GCA_001305835.1_ASM130583v1_genomic.fasta"
"50042","Salmonella enterica subsp. enterica serovar Typhi",4.80779,"52.1","1","5012","2017/08/04","2017/08/17","GCA_001356455.2","enterica","Salmonella","chromosome 1:NZ_LT904893.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/356/455/GCA_001356455.2_1016889/GCA_001356455.2_1016889_genomic.fasta"
"50050","Escherichia coli",5.31246,"50.717","3","5596","2016/06/16","2017/02/25","GCA_001663475.1","Escherichia coli","Escherichia coli","NZ_CP015159.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/475/GCA_001663475.1_ASM166347v1/GCA_001663475.1_ASM166347v1_genomic.fasta"
"50079","Bordetella pertussis",4.10425,"67.7","1","3969","2017/02/06","2017/03/29","GCA_001987135.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011724.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/135/GCA_001987135.1_ASM198713v1/GCA_001987135.1_ASM198713v1_genomic.fasta"
"50110","Bordetella pertussis",4.10425,"67.7","1","3970","2017/02/06","2017/03/29","GCA_001987155.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011725.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/155/GCA_001987155.1_ASM198715v1/GCA_001987155.1_ASM198715v1_genomic.fasta"
"50139","Escherichia coli",5.33188,"50.4894","3","5505","2016/06/22","2017/02/25","GCA_001675145.1","Escherichia coli","Escherichia coli","NZ_CP014667.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/145/GCA_001675145.1_ASM167514v1/GCA_001675145.1_ASM167514v1_genomic.fasta"
"50147","Salmonella enterica subsp. enterica serovar Typhi",4.99472,"52.1077","2","5263","2017/08/04","2017/08/17","GCA_001357935.2","enterica","Salmonella","chromosome 1:NZ_LT904891.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/357/935/GCA_001357935.2_80_2002/GCA_001357935.2_80_2002_genomic.fasta"
"50150","Salmonella enterica subsp. enterica serovar Typhi",4.84722,"52.1256","2","5050","2017/08/04","2017/08/17","GCA_001359015.2","enterica","Salmonella","chromosome 1:NZ_LT904888.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/359/015/GCA_001359015.2_129_0238/GCA_001359015.2_129_0238_genomic.fasta"
"50158","Escherichia coli",5.7123,"50.4203","2","5982","2016/07/01","2017/02/25","GCA_001677475.1","Escherichia coli","Escherichia coli","NZ_CP015229.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/475/GCA_001677475.1_ASM167747v1/GCA_001677475.1_ASM167747v1_genomic.fasta"
"50187","Bordetella pertussis",4.10322,"67.7","1","3968","2017/02/06","2017/03/29","GCA_001987175.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011726.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/175/GCA_001987175.1_ASM198717v1/GCA_001987175.1_ASM198717v1_genomic.fasta"
"50218","Bordetella pertussis",4.10954,"67.7","1","3980","2017/02/06","2017/03/29","GCA_001987195.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011727.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/195/GCA_001987195.1_ASM198719v1/GCA_001987195.1_ASM198719v1_genomic.fasta"
"50247","Escherichia coli",5.51185,"50.5202","2","5865","2016/07/01","2017/02/25","GCA_001677495.1","Escherichia coli","Escherichia coli","NZ_CP015228.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/495/GCA_001677495.1_ASM167749v1/GCA_001677495.1_ASM167749v1_genomic.fasta"
"50255","Salmonella enterica subsp. enterica serovar Typhi",4.78344,"52.1","1","4972","2017/08/04","2017/08/17","GCA_001360555.2","enterica","Salmonella","chromosome 1:NZ_LT905139.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/360/555/GCA_001360555.2_2010_7898/GCA_001360555.2_2010_7898_genomic.fasta"
"50258","Salmonella enterica subsp. enterica serovar Typhi",4.90255,"52.0674","2","5137","2017/08/04","2017/08/17","GCA_001361075.2","enterica","Salmonella","chromosome 1:NZ_LT904852.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/361/075/GCA_001361075.2_Ty585/GCA_001361075.2_Ty585_genomic.fasta"
"50266","Escherichia coli",5.45618,"50.6313","2","5777","2016/07/01","2017/02/25","GCA_001677515.1","Escherichia coli","Escherichia coli","NZ_CP013662.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/515/GCA_001677515.1_ASM167751v1/GCA_001677515.1_ASM167751v1_genomic.fasta"
"50294","Bordetella pertussis",4.11043,"67.7","1","3979","2017/02/06","2017/03/29","GCA_001987215.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011728.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/215/GCA_001987215.1_ASM198721v1/GCA_001987215.1_ASM198721v1_genomic.fasta"
"50325","Bordetella pertussis",4.1064,"67.7","1","3974","2017/02/06","2017/03/29","GCA_001987235.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011729.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/235/GCA_001987235.1_ASM198723v1/GCA_001987235.1_ASM198723v1_genomic.fasta"
"50353","Escherichia coli",4.73149,"50.8","1","4921","2016/07/05","2017/02/25","GCA_001678925.1","Escherichia coli","Escherichia coli","NZ_CP013031.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/678/925/GCA_001678925.1_ASM167892v1/GCA_001678925.1_ASM167892v1_genomic.fasta"
"50361","Salmonella enterica subsp. enterica serovar Typhi",4.83568,"52.1","1","5032","2017/08/04","2017/08/17","GCA_001362095.2","enterica","Salmonella","chromosome 1:NZ_LT904867.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/362/095/GCA_001362095.2_034151_4/GCA_001362095.2_034151_4_genomic.fasta"
"50364","Salmonella enterica subsp. enterica serovar Typhi",4.75992,"52.0495","3","4950","2017/08/04","2017/08/17","GCA_001362135.2","enterica","Salmonella","chromosome 1:NZ_LT904872.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/362/135/GCA_001362135.2_11909_3/GCA_001362135.2_11909_3_genomic.fasta"
